Episode,Train_Reward,Val_Reward,Epsilon,Learning_Rate
0,-54.09836219996214,-93.40087177028015,0.01,0.0001
1,-66.32996859401464,,0.01,0.0001
2,-40.350877702236176,,0.01,0.0001
3,-27.215188816189766,,0.01,0.0001
4,-59.32203621417284,,0.01,0.0001
5,1.2658248767256737,,0.01,0.0001
6,-42.622950345277786,,0.01,0.0001
7,17.11711458861828,,0.01,0.0001
8,-37.95620721578598,,0.01,0.0001
9,-114.15194807946682,,0.01,0.0001
10,-46.04316724836826,,0.01,0.0001
11,-64.2857151478529,,0.01,0.0001
12,-75.3521136790514,,0.01,0.0001
13,-21.146956376731396,,0.01,0.0001
14,-101.59597031772137,,0.01,0.0001
15,-30.92105534672737,,0.01,0.0001
16,-44.444446600973606,,0.01,0.0001
17,-53.06859454512596,,0.01,0.0001
18,-51.12782034277916,,0.01,0.0001
19,-71.32616696506739,,0.01,0.0001
20,-70.77922177314758,,0.01,0.0001
21,-81.61626468598843,,0.01,0.0001
22,-53.57142934203148,,0.01,0.0001
23,-42.76094549894333,,0.01,0.0001
24,-71.42857336997986,,0.01,0.0001
25,-72.22222399711609,,0.01,0.0001
26,-53.33333467692137,,0.01,0.0001
27,-21.501709297299385,,0.01,0.0001
28,-32.86219152063131,,0.01,0.0001
29,44.87632541358471,,0.01,0.0001
30,-23.588043048977852,,0.01,0.0001
31,-66.03773713111877,,0.01,0.0001
32,-47.69231027364731,,0.01,0.0001
33,-41.17647308111191,,0.01,0.0001
34,-24.99999926239252,,0.01,0.0001
35,7.744103893637657,,0.01,0.0001
36,45.98539628833532,,0.01,0.0001
37,-62.19931487739086,,0.01,0.0001
38,-52.72727474570274,,0.01,0.0001
39,-43.143814980983734,,0.01,0.0001
40,-24.914678506553173,,0.01,0.0001
41,-1.3157927691936493,,0.01,0.0001
42,76.67844621092081,,0.01,0.0001
43,10.320281013846397,,0.01,0.0001
44,-39.4904458373785,,0.01,0.0001
45,11.888108812272549,,0.01,0.0001
46,-25.6505581215024,,0.01,0.0001
47,16.27907008677721,,0.01,0.0001
48,-44.444447219371796,,0.01,0.0001
49,-30.000001221895218,,0.01,0.0001
50,-28.082194454967976,,0.01,0.0001
51,-45.45454753935337,,0.01,0.0001
52,-36.10223754495382,,0.01,0.0001
53,-11.347519516944885,,0.01,0.0001
54,53.094465263187885,,0.01,0.0001
55,4.838709808886051,,0.01,0.0001
56,-8.771929763257504,,0.01,0.0001
57,-51.12782034277916,,0.01,0.0001
58,45.098041385412216,,0.01,0.0001
59,-26.666667871177197,,0.01,0.0001
60,-61.93771843612194,,0.01,0.0001
61,26.436781108379364,,0.01,0.0001
62,-7.894739933311939,,0.01,0.0001
63,-30.069932587444782,,0.01,0.0001
64,-57.92880401015282,,0.01,0.0001
65,-71.53025088459253,,0.01,0.0001
66,-71.87500071525574,,0.01,0.0001
67,-59.18367428332567,,0.01,0.0001
68,-48.640484511852264,,0.01,0.0001
69,1.4492722302675247,,0.01,0.0001
70,6.382976897060871,,0.01,0.0001
71,-12.751680873334408,,0.01,0.0001
72,75.71884986758232,,0.01,0.0001
73,-28.32764771580696,,0.01,0.0001
74,-77.94117789715528,,0.01,0.0001
75,-50.38168200850487,,0.01,0.0001
76,20.481926329433918,,0.01,0.0001
77,-20.754717856645584,,0.01,0.0001
78,-62.14511055499315,,0.01,0.0001
79,-44.099381767213345,,0.01,0.0001
80,78.43866273015738,,0.01,0.0001
81,13.924053184688091,,0.01,0.0001
82,40.000001803040504,,0.01,0.0001
83,-36.170214496552944,,0.01,0.0001
84,-63.963965840637684,,0.01,0.0001
85,-48.3870964422822,,0.01,0.0001
86,-72.76264686882496,,0.01,0.0001
87,-68.64111709594727,,0.01,0.0001
88,-25.000001832842827,,0.01,0.0001
89,-78.97898073494434,,0.01,0.0001
90,-9.698999427258968,,0.01,0.0001
91,-38.98305352777243,,0.01,0.0001
92,-12.772588558495045,,0.01,0.0001
93,-63.33333482593298,,0.01,0.0001
94,-10.344828151166439,,0.01,0.0001
95,-17.525776602327824,,0.01,0.0001
96,15.384612262248993,,0.01,0.0001
97,-75.69444628059864,,0.01,0.0001
98,-26.910302095115185,,0.01,0.0001
99,-19.29824583977461,,0.01,0.0001
100,-83.16498509049416,-30.256821739757015,0.01,0.0001
101,-16.417912408709526,,0.01,0.0001
102,-15.624998971819878,,0.01,0.0001
103,-34.21052897721529,,0.01,0.0001
104,-33.9934011772275,,0.01,0.0001
105,-51.41700644046068,,0.01,0.0001
106,-16.34980919957161,,0.01,0.0001
107,-8.22784635424614,,0.01,0.0001
108,-7.643311232328415,,0.01,0.0001
109,-75.86207027733326,,0.01,0.0001
110,56.48854374885559,,0.01,0.0001
111,-26.829271107912064,,0.01,0.0001
112,9.999998889863491,,0.01,0.0001
113,-2.027025528252125,,0.01,0.0001
114,-4.109592363238335,,0.01,0.0001
115,-83.97436013817787,,0.01,0.0001
116,20.754716381430626,,0.01,0.0001
117,-105.7820506170392,,0.01,0.0001
118,11.969113521277905,,0.01,0.0001
119,28.113874904811382,,0.01,0.0001
120,68.53932185471058,,0.01,0.0001
121,-7.936511725187302,,0.01,0.0001
122,-13.357404068112373,,0.01,0.0001
123,0.3460175320506096,,0.01,0.0001
124,-31.40794514119625,,0.01,0.0001
125,-34.78261121362448,,0.01,0.0001
126,-23.56687853485346,,0.01,0.0001
127,6.312288746237755,,0.01,0.0001
128,-27.215188913047314,,0.01,0.0001
129,2.389075167477131,,0.01,0.0001
130,-6.250002644956112,,0.01,0.0001
131,-5.923348113894463,,0.01,0.0001
132,70.73170276731253,,0.01,0.0001
133,10.687018424272537,,0.01,0.0001
134,26.436781108379364,,0.01,0.0001
135,112.8378429710865,,0.01,0.0001
136,-89.76109348237514,,0.01,0.0001
137,213.29114903509617,,0.01,0.0001
138,94.55253211408854,,0.01,0.0001
139,-23.976611636579037,,0.01,0.0001
140,112.3287602737546,,0.01,0.0001
141,165.45454144477844,,0.01,0.0001
142,124.89959719032049,,0.01,0.0001
143,126.76580088585615,,0.01,0.0001
144,-0.34364649653434753,,0.01,0.0001
145,263.6363547369838,,0.01,0.0001
146,313.5020896792412,,0.01,0.0001
147,-13.669066742062569,,0.01,0.0001
148,-79.72973065823317,,0.01,0.0001
149,-18.8311687707901,,0.01,0.0001
150,30.597016230225563,,0.01,0.0001
151,2.236421190202236,,0.01,0.0001
152,202.08332855254412,,0.01,0.0001
153,96.6666661053896,,0.01,0.0001
154,95.91836806386709,,0.01,0.0001
155,-0.3436461165547371,,0.01,0.0001
156,-7.692309595644474,,0.01,0.0001
157,-35.483873687684536,,0.01,0.0001
158,25.899278536438942,,0.01,0.0001
159,-57.70392870157957,,0.01,0.0001
160,-33.9934011772275,,0.01,0.0001
161,11.510789379477501,,0.01,0.0001
162,41.342756651341915,,0.01,0.0001
163,52.98507642745972,,0.01,0.0001
164,15.015973940491676,,0.01,0.0001
165,67.91044989228249,,0.01,0.0001
166,45.98539628833532,,0.01,0.0001
167,12.318837389349937,,0.01,0.0001
168,107.40740778297186,,0.01,0.0001
169,-52.38095244765282,,0.01,0.0001
170,-14.473687291145325,,0.01,0.0001
171,173.68421388417482,,0.01,0.0001
172,168.96551872044802,,0.01,0.0001
173,97.916662953794,,0.01,0.0001
174,338.59649746865034,,0.01,0.0001
175,21.62162398546934,,0.01,0.0001
176,90.47619477659464,,0.01,0.0001
177,189.19859963655472,,0.01,0.0001
178,90.47618564218283,,0.01,0.0001
179,64.9122820943594,,0.01,0.0001
180,53.35463257879019,,0.01,0.0001
181,278.57143354415894,,0.01,0.0001
182,24.161070197820663,,0.01,0.0001
183,-24.836604669690132,,0.01,0.0001
184,4.868910863995552,,0.01,0.0001
185,-123.90339250862598,,0.01,0.0001
186,84.30033618956804,,0.01,0.0001
187,42.322093196213245,,0.01,0.0001
188,233.33333498984575,,0.01,0.0001
189,122.58065184950829,,0.01,0.0001
190,2.564104251563549,,0.01,0.0001
191,196.29629741609097,,0.01,0.0001
192,-2.9126225635409355,,0.01,0.0001
193,12.781955130398273,,0.01,0.0001
194,293.9393986687064,,0.01,0.0001
195,367.32024670392275,,0.01,0.0001
196,-1.6393458545207977,,0.01,0.0001
197,265.51724395900965,,0.01,0.0001
198,138.67069540917873,,0.01,0.0001
199,239.55224397033453,,0.01,0.0001
200,266.1016866713762,22.463317153813016,0.01,0.0001
201,108.19112065434456,,0.01,0.0001
202,399.9999900534749,,0.01,0.0001
203,84.66898486018181,,0.01,0.0001
204,164.70588443428278,,0.01,0.0001
205,188.00000538676977,,0.01,0.0001
206,222.14764412492514,,0.01,0.0001
207,146.29940811544657,,0.01,0.0001
208,202.54777716100216,,0.01,0.0001
209,54.08805080503225,,0.01,0.0001
210,24.27915444225073,,0.01,0.0001
211,176.96792529523373,,0.01,0.0001
212,377.66321621090174,,0.01,0.0001
213,121.18181421607733,,0.01,0.0001
214,44.06153705716133,,0.01,0.0001
215,69.67508541047573,,0.01,0.0001
216,143.7630960419774,,0.01,0.0001
217,425.000013820827,,0.01,0.0001
218,190.84966375678778,,0.01,0.0001
219,280.28169756382704,,0.01,0.0001
220,369.7986482158303,,0.01,0.0001
221,516.4874427840114,,0.01,0.0001
222,-1.9586732760071754,,0.01,0.0001
223,181.4814823642373,,0.01,0.0001
224,653.6764743849635,,0.01,0.0001
225,382.51747450977564,,0.01,0.0001
226,-60.992909476161,,0.01,0.0001
227,430.90908447653055,,0.01,0.0001
228,-6.832302205264568,,0.01,0.0001
229,188.07946006953716,,0.01,0.0001
230,361.53847194463015,,0.01,0.0001
231,518.0124020054936,,0.01,0.0001
232,384.25195367634296,,0.01,0.0001
233,280.9523864835501,,0.01,0.0001
234,252.94116516411304,,0.01,0.0001
235,504.0816385895014,,0.01,0.0001
236,94.444440767169,,0.01,0.0001
237,147.1042526587844,,0.01,0.0001
238,444.2176957949996,,0.01,0.0001
239,234.4827607497573,,0.01,0.0001
240,434.4827631264925,,0.01,0.0001
241,223.23231514543295,,0.01,0.0001
242,222.36841420084238,,0.01,0.0001
243,277.8501721546054,,0.01,0.0001
244,388.52458903193474,,0.01,0.0001
245,363.8783385530114,,0.01,0.0001
246,248.83721110969782,,0.01,0.0001
247,600.3609956130385,,0.01,0.0001
248,358.33332704752684,,0.01,0.0001
249,339.1025740131736,,0.01,0.0001
250,683.7837472036481,,0.01,0.0001
251,320.23347091674805,,0.01,0.0001
252,56.14617405831814,,0.01,0.0001
253,315.9292098581791,,0.01,0.0001
254,-23.357667475938797,,0.01,0.0001
255,308.4507123157382,,0.01,0.0001
256,175.54179613292217,,0.01,0.0001
257,517.2413845658302,,0.01,0.0001
258,206.39729864895344,,0.01,0.0001
259,228.31324210762978,,0.01,0.0001
260,293.5017959177494,,0.01,0.0001
261,417.7304935082793,,0.01,0.0001
262,643.421038903296,,0.01,0.0001
263,543.5986043214798,,0.01,0.0001
264,252.05991638451815,,0.01,0.0001
265,318.60463870316744,,0.01,0.0001
266,324.43730892241,,0.01,0.0001
267,729.7872305884957,,0.01,0.0001
268,118.74999617040157,,0.01,0.0001
269,501.39859161525965,,0.01,0.0001
270,475.65788355469704,,0.01,0.0001
271,318.60463870316744,,0.01,0.0001
272,413.5135267674923,,0.01,0.0001
273,246.2783169299364,,0.01,0.0001
274,308.8050356283784,,0.01,0.0001
275,37.02623592317104,,0.01,0.0001
276,49.09090614318848,,0.01,0.0001
277,222.580637909472,,0.01,0.0001
278,540.5228555127978,,0.01,0.0001
279,392.59259566664696,,0.01,0.0001
280,280.3921650275588,,0.01,0.0001
281,174.24748703092337,,0.01,0.0001
282,424.3055485934019,,0.01,0.0001
283,-59.70696000754833,,0.01,0.0001
284,604.3189174309373,,0.01,0.0001
285,61.62941384315491,,0.01,0.0001
286,223.9436680600047,,0.01,0.0001
287,273.8317685350776,,0.01,0.0001
288,164.26426055282354,,0.01,0.0001
289,678.1690309345722,,0.01,0.0001
290,-50.81967367231846,,0.01,0.0001
291,230.9608452618122,,0.01,0.0001
292,617.9487391859293,,0.01,0.0001
293,40.28776769340038,,0.01,0.0001
294,-84.90566182881594,,0.01,0.0001
295,410.4166598469019,,0.01,0.0001
296,256.61845886707306,,0.01,0.0001
297,234.61538188159466,,0.01,0.0001
298,447.101439781487,,0.01,0.0001
299,258.36176586151123,,0.01,0.0001
300,439.29538621008396,182.59023262446567,0.01,0.0001
301,225.65788773447275,,0.01,0.0001
302,385.5072378590703,,0.01,0.0001
303,419.23078125715256,,0.01,0.0001
304,320.42041535675526,,0.01,0.0001
305,587.0967981517315,,0.01,0.0001
