episode,reward,steps,model_type
1,896.4788732394151,1000,trained
2,937.3999999999879,626,trained
3,889.6193771626174,1000,trained
4,919.599999999992,804,trained
5,937.7999999999912,622,trained
6,867.1052631578789,1000,trained
7,349.99999999998306,1000,trained
8,937.299999999995,627,trained
9,889.4736842105056,1000,trained
10,922.6999999999858,773,trained
11,882.2695035460836,1000,trained
12,928.0999999999839,719,trained
13,893.2659932659726,1000,trained
14,875.8308157099469,1000,trained
15,935.2999999999906,647,trained
16,729.7101449275217,1000,trained
17,850.8771929824358,1000,trained
18,888.8888888888698,1000,trained
19,938.8999999999971,611,trained
20,890.3536977491781,1000,trained
21,889.9999999999867,1000,trained
22,931.0999999999905,689,trained
23,924.3999999999834,756,trained
24,181.89910979229006,1000,trained
25,896.4788732394151,1000,trained
26,848.8188976377804,1000,trained
27,940.4999999999915,595,trained
28,862.0253164556833,1000,trained
29,739.999999999985,1000,trained
30,927.7999999999879,722,trained
31,885.1190476190335,1000,trained
32,867.9999999999827,1000,trained
33,867.8571428571228,1000,trained
34,853.9007092198424,1000,trained
35,889.3238434163536,1000,trained
36,873.6842105262973,1000,trained
37,767.5496688741654,1000,trained
38,935.4999999999866,645,trained
39,876.4309764309561,1000,trained
40,933.7999999999876,662,trained
41,934.3999999999967,656,trained
42,881.5498154981415,1000,trained
43,935.1999999999858,648,trained
44,902.8999999999874,971,trained
45,890.1960784313485,1000,trained
46,889.0109890109741,1000,trained
47,925.3999999999858,746,trained
48,926.0999999999899,739,trained
49,890.163934426213,1000,trained
50,939.6999999999891,603,trained
51,515.9169550172858,1000,trained
52,893.3333333333202,1000,trained
53,494.3661971830952,1000,trained
54,896.5397923875305,1000,trained
55,939.3999999999945,606,trained
56,893.3774834436966,1000,trained
57,896.9604863221739,1000,trained
58,931.5999999999868,684,trained
59,932.799999999988,672,trained
60,855.4794520547736,1000,trained
61,936.7999999999854,632,trained
62,934.3999999999952,656,trained
63,874.8201438848718,1000,trained
64,634.693877551006,1000,trained
65,938.1999999999947,618,trained
66,938.599999999994,614,trained
67,874.9103942652154,1000,trained
68,884.3137254901746,1000,trained
69,875.1773049645242,1000,trained
70,920.1999999999899,798,trained
71,889.5104895104699,1000,trained
72,893.1271477663015,1000,trained
73,931.399999999991,686,trained
74,937.4999999999912,625,trained
75,928.7999999999843,712,trained
76,883.0508474576095,1000,trained
77,885.8657243816066,1000,trained
78,278.9808917197274,1000,trained
79,890.5362776025096,1000,trained
80,938.5999999999857,614,trained
81,619.2429022081856,1000,trained
82,872.9729729729531,1000,trained
83,882.078853046578,1000,trained
84,872.8813559321858,1000,trained
85,931.499999999984,685,trained
86,904.6999999999795,953,trained
87,867.3202614378869,1000,trained
88,656.6765578634872,1000,trained
89,936.4999999999867,635,trained
90,935.0999999999882,649,trained
91,438.732394366181,1000,trained
92,938.8999999999892,611,trained
93,886.6220735785727,1000,trained
94,933.4999999999906,665,trained
95,896.5277777777551,1000,trained
96,932.8999999999869,671,trained
97,654.7770700636742,1000,trained
98,860.8433734939615,1000,trained
99,730.1886792452617,1000,trained
100,932.6999999999952,673,trained
